,movie,year,imdb,metascore,votes
1489,Thor: The Dark World,2013,6.9,54,564340
1490,Prisoners,2013,8.1,74,552503
1491,Frozen,2013,7.5,74,543382
1492,Her,2013,8.0,90,497022
1493,Oblivion,2013,7.0,54,466333
1494,Pacific Rim,2013,6.9,65,452486
1495,Star Trek Into Darkness,2013,7.7,72,452471
1496,The Great Gatsby,2013,7.2,55,449559
1497,American Hustle,2013,7.2,90,429526
1498,The Conjuring,2013,7.5,68,416605
1499,Dallas Buyers Club,2013,8.0,84,415669
1500,The Wolverine,2013,6.7,61,413069
1501,Rush,2013,8.1,74,407768
1502,Elysium,2013,6.6,61,405500
1503,Captain Phillips,2013,7.8,83,399374
1504,We're the Millers,2013,7.0,44,383633
1505,This Is the End,2013,6.6,67,369997
1506,Fast & Furious 6,2013,7.1,61,355237
1507,Despicable Me 2,2013,7.3,62,354531
1508,Monsters University,2013,7.3,65,303858
1509,The Secret Life of Walter Mitty,2013,7.3,54,282204
1510,The Hangover Part III,2013,5.8,30,280183
1511,About Time,2013,7.8,55,278115
1512,Snowpiercer,2013,7.1,84,260096
1513,Lone Survivor,2013,7.5,60,254227
1514,Olympus Has Fallen,2013,6.5,41,245931
1515,Kick-Ass 2,2013,6.5,41,245797
1516,The World's End,2013,7.0,81,245591
1517,Don Jon,2013,6.5,66,221285
1518,Escape Plan,2013,6.7,49,218364
1519,Ender's Game,2013,6.6,51,215905
1520,The Lone Ranger,2013,6.4,37,213476
1521,Warm Bodies,2013,6.9,60,212486
1522,Gangster Squad,2013,6.7,40,199913
1523,White House Down,2013,6.4,52,197793
1524,The Wolf of Wall Street,2013,8.2,75,1087240
1525,Gravity,2013,7.7,96,734304
1526,Iron Man 3,2013,7.2,62,719570
1527,Man of Steel,2013,7.1,55,664545
1528,12 Years a Slave,2013,8.1,96,600445
1529,The Hunger Games: Catching Fire,2013,7.5,76,589076
1530,The Hobbit: The Desolation of Smaug,2013,7.8,66,579011
1531,World War Z,2013,7.0,63,570950
1532,Now You See Me,2013,7.3,50,568814
1533,Thor: The Dark World,2013,6.9,54,564340
1534,Prisoners,2013,8.1,74,552503
1535,Frozen,2013,7.5,74,543382
1536,Her,2013,8.0,90,497022
1537,Oblivion,2013,7.0,54,466333
1538,Pacific Rim,2013,6.9,65,452486
1539,Star Trek Into Darkness,2013,7.7,72,452471
1540,The Great Gatsby,2013,7.2,55,449559
1541,American Hustle,2013,7.2,90,429526
1542,The Conjuring,2013,7.5,68,416605
1543,Dallas Buyers Club,2013,8.0,84,415669
1544,The Wolverine,2013,6.7,61,413069
1545,Rush,2013,8.1,74,407768
1546,Elysium,2013,6.6,61,405500
1547,Captain Phillips,2013,7.8,83,399374
1548,We're the Millers,2013,7.0,44,383633
1549,This Is the End,2013,6.6,67,369997
1550,Fast & Furious 6,2013,7.1,61,355237
1551,Despicable Me 2,2013,7.3,62,354531
1552,Monsters University,2013,7.3,65,303858
1553,The Secret Life of Walter Mitty,2013,7.3,54,282204
1554,The Hangover Part III,2013,5.8,30,280183
1555,About Time,2013,7.8,55,278115
1556,Snowpiercer,2013,7.1,84,260096
1557,Lone Survivor,2013,7.5,60,254227
1558,Olympus Has Fallen,2013,6.5,41,245931
1559,Kick-Ass 2,2013,6.5,41,245797
1560,The World's End,2013,7.0,81,245591
1561,Don Jon,2013,6.5,66,221285
1562,Escape Plan,2013,6.7,49,218364
1563,Ender's Game,2013,6.6,51,215905
1564,The Lone Ranger,2013,6.4,37,213476
1565,Warm Bodies,2013,6.9,60,212486
1566,Gangster Squad,2013,6.7,40,199913
1567,White House Down,2013,6.4,52,197793
1568,The Wolf of Wall Street,2013,8.2,75,1087240
1569,Gravity,2013,7.7,96,734304
1570,Iron Man 3,2013,7.2,62,719570
1571,Man of Steel,2013,7.1,55,664545
1572,12 Years a Slave,2013,8.1,96,600445
1573,The Hunger Games: Catching Fire,2013,7.5,76,589076
1574,The Hobbit: The Desolation of Smaug,2013,7.8,66,579011
1575,World War Z,2013,7.0,63,570950
1576,Now You See Me,2013,7.3,50,568814
1577,Thor: The Dark World,2013,6.9,54,564340
1578,Prisoners,2013,8.1,74,552503
1579,Frozen,2013,7.5,74,543382
1580,Her,2013,8.0,90,497022
1581,Oblivion,2013,7.0,54,466333
1582,Pacific Rim,2013,6.9,65,452486
1583,Star Trek Into Darkness,2013,7.7,72,452471
1584,The Great Gatsby,2013,7.2,55,449559
1585,American Hustle,2013,7.2,90,429526
1586,The Conjuring,2013,7.5,68,416605
1587,Dallas Buyers Club,2013,8.0,84,415669
1588,The Wolverine,2013,6.7,61,413069
1589,Rush,2013,8.1,74,407768
1590,Elysium,2013,6.6,61,405500
1591,Captain Phillips,2013,7.8,83,399374
1592,We're the Millers,2013,7.0,44,383633
1593,This Is the End,2013,6.6,67,369997
1594,Fast & Furious 6,2013,7.1,61,355237
1595,Despicable Me 2,2013,7.3,62,354531
1596,Monsters University,2013,7.3,65,303858
1597,The Secret Life of Walter Mitty,2013,7.3,54,282204
1598,The Hangover Part III,2013,5.8,30,280183
1599,About Time,2013,7.8,55,278115
1600,Snowpiercer,2013,7.1,84,260096
1601,Lone Survivor,2013,7.5,60,254227
1602,Olympus Has Fallen,2013,6.5,41,245931
1603,Kick-Ass 2,2013,6.5,41,245797
1604,The World's End,2013,7.0,81,245591
1605,Don Jon,2013,6.5,66,221285
1606,Escape Plan,2013,6.7,49,218364
1607,Ender's Game,2013,6.6,51,215905
1608,The Lone Ranger,2013,6.4,37,213476
1609,Warm Bodies,2013,6.9,60,212486
1610,Gangster Squad,2013,6.7,40,199913
1611,White House Down,2013,6.4,52,197793
1612,Interstellar,2014,8.6,74,1372158
1613,Guardians of the Galaxy,2014,8.0,76,993706
1614,Gone Girl,2014,8.1,79,796308
1615,Captain America: The Winter Soldier,2014,7.7,70,696829
1616,The Grand Budapest Hotel,2014,8.1,88,659737
1617,Whiplash,2014,8.5,88,654900
1618,The Imitation Game,2014,8.0,73,643015
1619,X-Men: Days of Future Past,2014,8.0,75,637661
1620,Edge of Tomorrow,2014,7.9,71,566989
1621,Kingsman: The Secret Service,2014,7.7,60,563239
1622,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,543697
1623,John Wick,2014,7.4,68,494548
1624,The Hobbit: The Battle of the Five Armies,2014,7.4,59,452213
1625,Ex Machina,2014,7.7,78,442950
1626,Nightcrawler,2014,7.9,76,426730
1627,Lucy,2014,6.4,61,417897
1628,American Sniper,2014,7.3,72,415774
1629,Divergent,2014,6.7,48,409107
1630,The Amazing Spider-Man 2,2014,6.6,53,400259
1631,Fury,2014,7.6,64,398983
1632,Dawn of the Planet of the Apes,2014,7.6,79,398926
1633,The Maze Runner,2014,6.8,57,398072
1634,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,391939
1635,Big Hero 6,2014,7.8,74,387633
1636,The Theory of Everything,2014,7.7,72,375626
1637,Godzilla,2014,6.4,62,362821
1638,22 Jump Street,2014,7.0,71,330095
1639,The Fault in Our Stars,2014,7.7,69,325961
1640,Maleficent,2014,7.0,56,325596
1641,Boyhood,2014,7.9,100,323190
1642,The Equalizer,2014,7.2,57,314140
1643,The Lego Movie,2014,7.8,83,312758
1644,The Interview,2014,6.5,52,293704
1645,How to Train Your Dragon 2,2014,7.8,76,290006
1646,Transformers: Age of Extinction,2014,5.6,32,289660
1647,Neighbors,2014,6.3,68,273660
1648,300: Rise of an Empire,2014,6.2,48,270418
1649,Non-Stop,2014,6.9,56,240789
1650,Predestination,2014,7.5,69,234746
1651,Noah,2014,5.8,68,234425
1652,RoboCop,2014,6.2,52,209904
1653,Transcendence,2014,6.3,42,209194
1654,Teenage Mutant Ninja Turtles,2014,5.8,31,195280
1655,It Follows,2014,6.8,83,194146
1656,The Babadook,2014,6.8,86,182338
1657,Interstellar,2014,8.6,74,1372158
1658,Guardians of the Galaxy,2014,8.0,76,993706
1659,Gone Girl,2014,8.1,79,796308
1660,Captain America: The Winter Soldier,2014,7.7,70,696829
1661,The Grand Budapest Hotel,2014,8.1,88,659737
1662,Whiplash,2014,8.5,88,654900
1663,The Imitation Game,2014,8.0,73,643015
1664,X-Men: Days of Future Past,2014,8.0,75,637661
1665,Edge of Tomorrow,2014,7.9,71,566989
1666,Kingsman: The Secret Service,2014,7.7,60,563239
1667,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,543697
1668,John Wick,2014,7.4,68,494548
1669,The Hobbit: The Battle of the Five Armies,2014,7.4,59,452213
1670,Ex Machina,2014,7.7,78,442950
1671,Nightcrawler,2014,7.9,76,426730
1672,Lucy,2014,6.4,61,417897
1673,American Sniper,2014,7.3,72,415774
1674,Divergent,2014,6.7,48,409107
1675,The Amazing Spider-Man 2,2014,6.6,53,400259
1676,Fury,2014,7.6,64,398983
1677,Dawn of the Planet of the Apes,2014,7.6,79,398926
1678,The Maze Runner,2014,6.8,57,398072
1679,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,391939
1680,Big Hero 6,2014,7.8,74,387633
1681,The Theory of Everything,2014,7.7,72,375626
1682,Godzilla,2014,6.4,62,362821
1683,22 Jump Street,2014,7.0,71,330095
1684,The Fault in Our Stars,2014,7.7,69,325961
1685,Maleficent,2014,7.0,56,325596
1686,Boyhood,2014,7.9,100,323190
1687,The Equalizer,2014,7.2,57,314140
1688,The Lego Movie,2014,7.8,83,312758
1689,The Interview,2014,6.5,52,293704
1690,How to Train Your Dragon 2,2014,7.8,76,290006
1691,Transformers: Age of Extinction,2014,5.6,32,289660
1692,Neighbors,2014,6.3,68,273660
1693,300: Rise of an Empire,2014,6.2,48,270418
1694,Non-Stop,2014,6.9,56,240789
1695,Predestination,2014,7.5,69,234746
1696,Noah,2014,5.8,68,234425
1697,RoboCop,2014,6.2,52,209904
1698,Transcendence,2014,6.3,42,209194
1699,Teenage Mutant Ninja Turtles,2014,5.8,31,195280
1700,It Follows,2014,6.8,83,194146
1701,The Babadook,2014,6.8,86,182338
1702,Interstellar,2014,8.6,74,1372158
1703,Guardians of the Galaxy,2014,8.0,76,993706
1704,Gone Girl,2014,8.1,79,796308
1705,Captain America: The Winter Soldier,2014,7.7,70,696829
1706,The Grand Budapest Hotel,2014,8.1,88,659737
1707,Whiplash,2014,8.5,88,654900
1708,The Imitation Game,2014,8.0,73,643015
1709,X-Men: Days of Future Past,2014,8.0,75,637661
1710,Edge of Tomorrow,2014,7.9,71,566989
1711,Kingsman: The Secret Service,2014,7.7,60,563239
1712,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,543697
1713,John Wick,2014,7.4,68,494548
1714,The Hobbit: The Battle of the Five Armies,2014,7.4,59,452213
1715,Ex Machina,2014,7.7,78,442950
1716,Nightcrawler,2014,7.9,76,426730
1717,Lucy,2014,6.4,61,417897
1718,American Sniper,2014,7.3,72,415774
1719,Divergent,2014,6.7,48,409107
1720,The Amazing Spider-Man 2,2014,6.6,53,400259
1721,Fury,2014,7.6,64,398983
1722,Dawn of the Planet of the Apes,2014,7.6,79,398926
1723,The Maze Runner,2014,6.8,57,398072
1724,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,391939
1725,Big Hero 6,2014,7.8,74,387633
1726,The Theory of Everything,2014,7.7,72,375626
1727,Godzilla,2014,6.4,62,362821
1728,22 Jump Street,2014,7.0,71,330095
1729,The Fault in Our Stars,2014,7.7,69,325961
1730,Maleficent,2014,7.0,56,325596
1731,Boyhood,2014,7.9,100,323190
1732,The Equalizer,2014,7.2,57,314140
1733,The Lego Movie,2014,7.8,83,312758
1734,The Interview,2014,6.5,52,293704
1735,How to Train Your Dragon 2,2014,7.8,76,290006
1736,Transformers: Age of Extinction,2014,5.6,32,289660
1737,Neighbors,2014,6.3,68,273660
1738,300: Rise of an Empire,2014,6.2,48,270418
1739,Non-Stop,2014,6.9,56,240789
1740,Predestination,2014,7.5,69,234746
1741,Noah,2014,5.8,68,234425
1742,RoboCop,2014,6.2,52,209904
1743,Transcendence,2014,6.3,42,209194
1744,Teenage Mutant Ninja Turtles,2014,5.8,31,195280
1745,It Follows,2014,6.8,83,194146
1746,The Babadook,2014,6.8,86,182338
1747,Interstellar,2014,8.6,74,1372158
1748,Guardians of the Galaxy,2014,8.0,76,993706
1749,Gone Girl,2014,8.1,79,796308
1750,Captain America: The Winter Soldier,2014,7.7,70,696829
1751,The Grand Budapest Hotel,2014,8.1,88,659737
1752,Whiplash,2014,8.5,88,654900
1753,The Imitation Game,2014,8.0,73,643015
1754,X-Men: Days of Future Past,2014,8.0,75,637661
1755,Edge of Tomorrow,2014,7.9,71,566989
1756,Kingsman: The Secret Service,2014,7.7,60,563239
1757,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,543697
1758,John Wick,2014,7.4,68,494548
1759,The Hobbit: The Battle of the Five Armies,2014,7.4,59,452213
1760,Ex Machina,2014,7.7,78,442950
1761,Nightcrawler,2014,7.9,76,426730
1762,Lucy,2014,6.4,61,417897
1763,American Sniper,2014,7.3,72,415774
1764,Divergent,2014,6.7,48,409107
1765,The Amazing Spider-Man 2,2014,6.6,53,400259
1766,Fury,2014,7.6,64,398983
1767,Dawn of the Planet of the Apes,2014,7.6,79,398926
1768,The Maze Runner,2014,6.8,57,398072
1769,The Hunger Games: Mockingjay - Part 1,2014,6.6,64,391939
1770,Big Hero 6,2014,7.8,74,387633
1771,The Theory of Everything,2014,7.7,72,375626
1772,Godzilla,2014,6.4,62,362821
1773,22 Jump Street,2014,7.0,71,330095
1774,The Fault in Our Stars,2014,7.7,69,325961
1775,Maleficent,2014,7.0,56,325596
1776,Boyhood,2014,7.9,100,323190
1777,The Equalizer,2014,7.2,57,314140
1778,The Lego Movie,2014,7.8,83,312758
1779,The Interview,2014,6.5,52,293704
1780,How to Train Your Dragon 2,2014,7.8,76,290006
1781,Transformers: Age of Extinction,2014,5.6,32,289660
1782,Neighbors,2014,6.3,68,273660
1783,300: Rise of an Empire,2014,6.2,48,270418
1784,Non-Stop,2014,6.9,56,240789
1785,Predestination,2014,7.5,69,234746
1786,Noah,2014,5.8,68,234425
1787,RoboCop,2014,6.2,52,209904
1788,Transcendence,2014,6.3,42,209194
1789,Teenage Mutant Ninja Turtles,2014,5.8,31,195280
1790,It Follows,2014,6.8,83,194146
1791,The Babadook,2014,6.8,86,182338
1792,Star Wars: Episode VII - The Force Awakens,2015,7.9,81,825286
1793,Mad Max: Fury Road,2015,8.1,90,817988
1794,The Martian,2015,8.0,80,712721
1795,Avengers: Age of Ultron,2015,7.3,66,698574
1796,The Revenant,2015,8.0,76,655703
1797,Inside Out,2015,8.2,94,565763
1798,Jurassic World,2015,7.0,59,555413
1799,Ant-Man,2015,7.3,64,532224
1800,The Hateful Eight,2015,7.8,68,474236
1801,Spotlight,2015,8.1,93,385821
1802,Spectre,2015,6.8,60,364755
1803,Sicario,2015,7.6,82,344819
1804,Furious 7,2015,7.2,67,344600
1805,Room,2015,8.1,86,336348
1806,The Big Short,2015,7.8,81,328457
1807,Mission: Impossible - Rogue Nation,2015,7.4,75,323974
1808,Fifty Shades of Grey,2015,4.1,46,286280
1809,Bridge of Spies,2015,7.6,81,272030
1810,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,265156
1811,The Man from U.N.C.L.E.,2015,7.3,56,250730
1812,Terminator Genisys,2015,6.4,38,247554
1813,Creed,2015,7.6,82,234501
1814,Spy,2015,7.0,75,220025
1815,Chappie,2015,6.8,41,219658
1816,Maze Runner: The Scorch Trials,2015,6.3,43,208710
1817,Southpaw,2015,7.4,57,206581
1818,Insurgent,2015,6.2,42,206474
1819,Minions,2015,6.4,56,201426
1820,The Intern,2015,7.1,51,200554
1821,Focus,2015,6.6,56,200513
1822,San Andreas,2015,6.0,43,200211
1823,The Lobster,2015,7.2,82,196280
1824,Everest,2015,7.1,64,187014
1825,The Witch,2015,6.9,83,173841
1826,Ted 2,2015,6.3,48,173629
1827,Jupiter Ascending,2015,5.3,40,171470
1828,Straight Outta Compton,2015,7.9,72,170524
1829,Tomorrowland,2015,6.4,60,165578
1830,Black Mass,2015,6.9,68,160383
1831,The Danish Girl,2015,7.1,66,153404
1832,Cinderella,2015,6.9,67,150094
1833,Legend,2015,6.9,55,146238
1834,The Age of Adaline,2015,7.2,51,144979
1835,Steve Jobs,2015,7.2,82,144150
1836,Star Wars: Episode VII - The Force Awakens,2015,7.9,81,825286
1837,Mad Max: Fury Road,2015,8.1,90,817988
1838,The Martian,2015,8.0,80,712721
1839,Avengers: Age of Ultron,2015,7.3,66,698574
1840,The Revenant,2015,8.0,76,655703
1841,Inside Out,2015,8.2,94,565763
1842,Jurassic World,2015,7.0,59,555413
1843,Ant-Man,2015,7.3,64,532224
1844,The Hateful Eight,2015,7.8,68,474236
1845,Spotlight,2015,8.1,93,385821
1846,Spectre,2015,6.8,60,364755
1847,Sicario,2015,7.6,82,344819
1848,Furious 7,2015,7.2,67,344600
1849,Room,2015,8.1,86,336348
1850,The Big Short,2015,7.8,81,328457
1851,Mission: Impossible - Rogue Nation,2015,7.4,75,323974
1852,Fifty Shades of Grey,2015,4.1,46,286280
1853,Bridge of Spies,2015,7.6,81,272030
1854,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,265156
1855,The Man from U.N.C.L.E.,2015,7.3,56,250730
1856,Terminator Genisys,2015,6.4,38,247554
1857,Creed,2015,7.6,82,234501
1858,Spy,2015,7.0,75,220025
1859,Chappie,2015,6.8,41,219658
1860,Maze Runner: The Scorch Trials,2015,6.3,43,208710
1861,Southpaw,2015,7.4,57,206581
1862,Insurgent,2015,6.2,42,206474
1863,Minions,2015,6.4,56,201426
1864,The Intern,2015,7.1,51,200554
1865,Focus,2015,6.6,56,200513
1866,San Andreas,2015,6.0,43,200211
1867,The Lobster,2015,7.2,82,196280
1868,Everest,2015,7.1,64,187014
1869,The Witch,2015,6.9,83,173841
1870,Ted 2,2015,6.3,48,173629
1871,Jupiter Ascending,2015,5.3,40,171470
1872,Straight Outta Compton,2015,7.9,72,170524
1873,Tomorrowland,2015,6.4,60,165578
1874,Black Mass,2015,6.9,68,160383
1875,The Danish Girl,2015,7.1,66,153404
1876,Cinderella,2015,6.9,67,150094
1877,Legend,2015,6.9,55,146238
1878,The Age of Adaline,2015,7.2,51,144979
1879,Steve Jobs,2015,7.2,82,144150
1880,Star Wars: Episode VII - The Force Awakens,2015,7.9,81,825286
1881,Mad Max: Fury Road,2015,8.1,90,817988
1882,The Martian,2015,8.0,80,712721
1883,Avengers: Age of Ultron,2015,7.3,66,698574
1884,The Revenant,2015,8.0,76,655703
1885,Inside Out,2015,8.2,94,565763
1886,Jurassic World,2015,7.0,59,555413
1887,Ant-Man,2015,7.3,64,532224
1888,The Hateful Eight,2015,7.8,68,474236
1889,Spotlight,2015,8.1,93,385821
1890,Spectre,2015,6.8,60,364755
1891,Sicario,2015,7.6,82,344819
1892,Furious 7,2015,7.2,67,344600
1893,Room,2015,8.1,86,336348
1894,The Big Short,2015,7.8,81,328457
1895,Mission: Impossible - Rogue Nation,2015,7.4,75,323974
1896,Fifty Shades of Grey,2015,4.1,46,286280
1897,Bridge of Spies,2015,7.6,81,272030
1898,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,265156
1899,The Man from U.N.C.L.E.,2015,7.3,56,250730
1900,Terminator Genisys,2015,6.4,38,247554
1901,Creed,2015,7.6,82,234501
1902,Spy,2015,7.0,75,220025
1903,Chappie,2015,6.8,41,219658
1904,Maze Runner: The Scorch Trials,2015,6.3,43,208710
1905,Southpaw,2015,7.4,57,206581
1906,Insurgent,2015,6.2,42,206474
1907,Minions,2015,6.4,56,201426
1908,The Intern,2015,7.1,51,200554
1909,Focus,2015,6.6,56,200513
1910,San Andreas,2015,6.0,43,200211
1911,The Lobster,2015,7.2,82,196280
1912,Everest,2015,7.1,64,187014
1913,The Witch,2015,6.9,83,173841
1914,Ted 2,2015,6.3,48,173629
1915,Jupiter Ascending,2015,5.3,40,171470
1916,Straight Outta Compton,2015,7.9,72,170524
1917,Tomorrowland,2015,6.4,60,165578
1918,Black Mass,2015,6.9,68,160383
1919,The Danish Girl,2015,7.1,66,153404
1920,Cinderella,2015,6.9,67,150094
1921,Legend,2015,6.9,55,146238
1922,The Age of Adaline,2015,7.2,51,144979
1923,Steve Jobs,2015,7.2,82,144150
1924,Star Wars: Episode VII - The Force Awakens,2015,7.9,81,825286
1925,Mad Max: Fury Road,2015,8.1,90,817988
1926,The Martian,2015,8.0,80,712721
1927,Avengers: Age of Ultron,2015,7.3,66,698574
1928,The Revenant,2015,8.0,76,655703
1929,Inside Out,2015,8.2,94,565763
1930,Jurassic World,2015,7.0,59,555413
1931,Ant-Man,2015,7.3,64,532224
1932,The Hateful Eight,2015,7.8,68,474236
1933,Spotlight,2015,8.1,93,385821
1934,Spectre,2015,6.8,60,364755
1935,Sicario,2015,7.6,82,344819
1936,Furious 7,2015,7.2,67,344600
1937,Room,2015,8.1,86,336348
1938,The Big Short,2015,7.8,81,328457
1939,Mission: Impossible - Rogue Nation,2015,7.4,75,323974
1940,Fifty Shades of Grey,2015,4.1,46,286280
1941,Bridge of Spies,2015,7.6,81,272030
1942,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,265156
1943,The Man from U.N.C.L.E.,2015,7.3,56,250730
1944,Terminator Genisys,2015,6.4,38,247554
1945,Creed,2015,7.6,82,234501
1946,Spy,2015,7.0,75,220025
1947,Chappie,2015,6.8,41,219658
1948,Maze Runner: The Scorch Trials,2015,6.3,43,208710
1949,Southpaw,2015,7.4,57,206581
1950,Insurgent,2015,6.2,42,206474
1951,Minions,2015,6.4,56,201426
1952,The Intern,2015,7.1,51,200554
1953,Focus,2015,6.6,56,200513
1954,San Andreas,2015,6.0,43,200211
1955,The Lobster,2015,7.2,82,196280
1956,Everest,2015,7.1,64,187014
1957,The Witch,2015,6.9,83,173841
1958,Ted 2,2015,6.3,48,173629
1959,Jupiter Ascending,2015,5.3,40,171470
1960,Straight Outta Compton,2015,7.9,72,170524
1961,Tomorrowland,2015,6.4,60,165578
1962,Black Mass,2015,6.9,68,160383
1963,The Danish Girl,2015,7.1,66,153404
1964,Cinderella,2015,6.9,67,150094
1965,Legend,2015,6.9,55,146238
1966,The Age of Adaline,2015,7.2,51,144979
1967,Steve Jobs,2015,7.2,82,144150
1968,Deadpool,2016,8.0,65,856870
1969,Captain America: Civil War,2016,7.8,75,619323
1970,Batman v Superman: Dawn of Justice,2016,6.5,44,596124
1971,Suicide Squad,2016,6.0,40,561499
1972,Doctor Strange,2016,7.5,72,552625
1973,Arrival,2016,7.9,81,547499
1974,Rogue One: A Star Wars Story,2016,7.8,65,517715
1975,La La Land,2016,8.0,93,463136
1976,Zootopia,2016,8.0,78,403276
1977,Hacksaw Ridge,2016,8.1,71,393031
1978,Split,2016,7.3,62,389714
1979,Fantastic Beasts and Where to Find Them,2016,7.3,66,383963
1980,X-Men: Apocalypse,2016,6.9,52,373354
1981,Passengers,2016,7.0,41,325683
1982,10 Cloverfield Lane,2016,7.2,76,272840
1983,The Nice Guys,2016,7.4,70,254497
1984,The Jungle Book,2016,7.4,77,248497
1985,Moonlight,2016,7.4,99,245464
1986,The Accountant,2016,7.3,51,243905
1987,Moana,2016,7.6,81,242600
1988,Warcraft,2016,6.8,32,232799
1989,Now You See Me 2,2016,6.5,46,228753
1990,Manchester by the Sea,2016,7.8,96,226544
1991,Finding Dory,2016,7.3,77,224060
1992,Nocturnal Animals,2016,7.5,67,218065
1993,Star Trek Beyond,2016,7.1,68,216994
1994,Sully,2016,7.4,74,216666
1995,The Conjuring 2,2016,7.3,65,208346
1996,Don't Breathe,2016,7.1,71,200261
1997,Jason Bourne,2016,6.6,58,197255
1998,Ghostbusters,2016,5.2,60,194695
1999,Lion,2016,8.0,69,192735
2000,Me Before You,2016,7.4,51,187890
2001,Hell or High Water,2016,7.6,88,186753
2002,Hidden Figures,2016,7.8,74,181602
2003,The Magnificent Seven,2016,6.9,54,174944
2004,Assassin's Creed,2016,5.7,36,174197
2005,The Secret Life of Pets,2016,6.5,61,172995
2006,Captain Fantastic,2016,7.9,72,170045
2007,The Promise,2016,5.9,49,165720
2008,Sausage Party,2016,6.1,66,165673
2009,War Dogs,2016,7.1,57,163445
2010,Independence Day: Resurgence,2016,5.2,32,159739
2011,The Girl on the Train,2016,6.5,48,158681
2012,Your Name.,2016,8.4,79,156374
2013,The Legend of Tarzan,2016,6.2,44,155780
2014,Central Intelligence,2016,6.3,52,147459
2015,Deadpool,2016,8.0,65,856870
2016,Captain America: Civil War,2016,7.8,75,619323
2017,Batman v Superman: Dawn of Justice,2016,6.5,44,596124
2018,Suicide Squad,2016,6.0,40,561499
2019,Doctor Strange,2016,7.5,72,552625
2020,Arrival,2016,7.9,81,547499
2021,Rogue One: A Star Wars Story,2016,7.8,65,517715
2022,La La Land,2016,8.0,93,463136
2023,Zootopia,2016,8.0,78,403276
2024,Hacksaw Ridge,2016,8.1,71,393031
2025,Split,2016,7.3,62,389714
2026,Fantastic Beasts and Where to Find Them,2016,7.3,66,383963
2027,X-Men: Apocalypse,2016,6.9,52,373354
2028,Passengers,2016,7.0,41,325683
2029,10 Cloverfield Lane,2016,7.2,76,272840
2030,The Nice Guys,2016,7.4,70,254497
2031,The Jungle Book,2016,7.4,77,248497
2032,Moonlight,2016,7.4,99,245464
2033,The Accountant,2016,7.3,51,243905
2034,Moana,2016,7.6,81,242600
2035,Warcraft,2016,6.8,32,232799
2036,Now You See Me 2,2016,6.5,46,228753
2037,Manchester by the Sea,2016,7.8,96,226544
2038,Finding Dory,2016,7.3,77,224060
2039,Nocturnal Animals,2016,7.5,67,218065
2040,Star Trek Beyond,2016,7.1,68,216994
2041,Sully,2016,7.4,74,216666
2042,The Conjuring 2,2016,7.3,65,208346
2043,Don't Breathe,2016,7.1,71,200261
2044,Jason Bourne,2016,6.6,58,197255
2045,Ghostbusters,2016,5.2,60,194695
2046,Lion,2016,8.0,69,192735
2047,Me Before You,2016,7.4,51,187890
2048,Hell or High Water,2016,7.6,88,186753
2049,Hidden Figures,2016,7.8,74,181602
2050,The Magnificent Seven,2016,6.9,54,174944
2051,Assassin's Creed,2016,5.7,36,174197
2052,The Secret Life of Pets,2016,6.5,61,172995
2053,Captain Fantastic,2016,7.9,72,170045
2054,The Promise,2016,5.9,49,165720
2055,Sausage Party,2016,6.1,66,165673
2056,War Dogs,2016,7.1,57,163445
2057,Independence Day: Resurgence,2016,5.2,32,159739
2058,The Girl on the Train,2016,6.5,48,158681
2059,Your Name.,2016,8.4,79,156374
2060,The Legend of Tarzan,2016,6.2,44,155780
2061,Central Intelligence,2016,6.3,52,147459
2062,Deadpool,2016,8.0,65,856870
2063,Captain America: Civil War,2016,7.8,75,619323
2064,Batman v Superman: Dawn of Justice,2016,6.5,44,596124
2065,Suicide Squad,2016,6.0,40,561499
2066,Doctor Strange,2016,7.5,72,552625
2067,Arrival,2016,7.9,81,547499
2068,Rogue One: A Star Wars Story,2016,7.8,65,517715
2069,La La Land,2016,8.0,93,463136
2070,Zootopia,2016,8.0,78,403276
2071,Hacksaw Ridge,2016,8.1,71,393031
2072,Split,2016,7.3,62,389714
2073,Fantastic Beasts and Where to Find Them,2016,7.3,66,383963
2074,X-Men: Apocalypse,2016,6.9,52,373354
2075,Passengers,2016,7.0,41,325683
2076,10 Cloverfield Lane,2016,7.2,76,272840
2077,The Nice Guys,2016,7.4,70,254497
2078,The Jungle Book,2016,7.4,77,248497
2079,Moonlight,2016,7.4,99,245464
2080,The Accountant,2016,7.3,51,243905
2081,Moana,2016,7.6,81,242600
2082,Warcraft,2016,6.8,32,232799
2083,Now You See Me 2,2016,6.5,46,228753
2084,Manchester by the Sea,2016,7.8,96,226544
2085,Finding Dory,2016,7.3,77,224060
